id,name,dish,qty,price,total,date,city
1,Yashvi Venkataraman,Rasam Rice,4,295.59,1182.36,2025-02-16,Trichy
2,Yakshit Keer,Sambar Rice,5,174.57,872.85,2024-09-22,Thiruvananthapuram
3,Rati Wadhwa,Idli,2,73.0,146.0,2025-01-22,Coimbatore
4,Elakshi Gill,Vada,2,488.05,976.1,2025-04-30,Coimbatore
5,Aaina Dixit,Curd Rice,2,431.98,863.96,2025-01-19,Hyderabad
6,Nehmat Dyal,Rava Dosa,4,120.4,481.6,2024-10-08,Chennai
7,Charvi Agrawal,Vada,3,264.04,792.12,2025-08-07,Vijayawada
8,Ehsaan Chaudhry,Rasam Rice,5,435.7,2178.5,2024-11-24,Trichy
9,Sahil Keer,Pesarattu,4,491.29,1965.16,2025-04-13,Chennai
10,Vidur Yadav,Bisibele Bath,1,253.44,253.44,2024-10-31,Coimbatore
11,Samar Chanda,Pongal,4,254.5,1018.0,2025-05-12,Bengaluru
12,Kavya Gara,Sambar Rice,3,123.13,369.39,2024-09-06,Chennai
13,Ayesha Ratta,Pesarattu,5,356.52,1782.6,2024-11-06,Thiruvananthapuram
14,Anvi Rau,Vada,4,176.08,704.32,2024-11-04,Chennai
15,Elakshi Sha,Pongal,3,61.98,185.94,2025-07-15,Chennai
16,Riya Dara,Curd Rice,3,109.72,329.16,2025-01-05,Thiruvananthapuram
17,Ojas Vyas,Curd Rice,4,256.08,1024.32,2024-11-22,Mysuru
18,Hrishita Dara,Sambar Rice,4,487.07,1948.28,2025-02-23,Coimbatore
19,Ritvik Rana,Uttapam,3,102.85,308.55,2024-09-19,Coimbatore
20,Seher Ratti,Vada,2,326.5,653.0,2025-03-03,Coimbatore
21,Yashvi Sawhney,Pesarattu,1,454.04,454.04,2024-10-05,Hyderabad
22,Vidur Bahl,Medu Vada,4,325.07,1300.28,2025-03-19,Hyderabad
23,Advika Buch,Pesarattu,2,339.52,679.04,2024-09-25,Bengaluru
24,Shlok Sankar,Uttapam,5,64.32,321.6,2024-12-23,Thiruvananthapuram
25,Hrishita Yohannan,Uttapam,5,321.8,1609.0,2025-01-02,Bengaluru
26,Eshani Kale,Curd Rice,3,308.56,925.68,2024-08-14,Thiruvananthapuram
27,Jivika Balakrishnan,Bisibele Bath,2,262.4,524.8,2024-08-24,Bengaluru
